driver_id,driver_name,driver_phone,national_id,region_id,shift,vehicle_type,hire_date,rating_avg,on_time_rate,cancel_rate,completed_deliveries,is_active,created_at,updated_at
16,Hassan Naguib,01084964625,222523724536519,15,morning,motorbike,2025-05-25,3.853,0.929,0.068,1088,True,2025-05-25 00:00:00,2026-03-10 17:51:33.786365
17,Ali Mohamed,01570895638,341589993468742,7,morning,motorbike,2025-05-12,4.968,0.747,0.063,1672,True,2025-05-12 00:00:00,2026-03-10 17:51:33.786365
18,Karim Mahmoud,01166147435,214046486012615,10,evening,car,2022-03-05,3.822,0.758,0.032,8286,True,2022-03-05 00:00:00,2026-03-10 17:51:33.786365
19,Omar El-Sayed,01538483372,369574239178689,9,morning,motorbike,2022-08-17,3.634,0.731,0.002,7058,True,2022-08-17 00:00:00,2026-03-10 17:51:33.786365
20,Adel Gaber,01262975309,388752057453412,2,night,car,2019-07-06,3.727,0.5,0.043,29662,True,2019-07-06 00:00:00,2026-03-10 17:51:33.786365
21,Khaled Tawfik,01027162621,349547349350320,12,evening,car,2021-12-02,3.954,0.812,0.066,14033,True,2021-12-02 00:00:00,2026-03-10 17:51:33.786365
22,Khaled Saleh,01184581396,336586076149821,5,morning,bike,2024-07-05,3.878,0.864,0.001,3554,False,2024-07-05 00:00:00,2026-03-10 17:51:33.786365
23,Wael Fathy,01525098270,259199381466591,3,morning,bike,2025-04-16,4.78,0.874,0.017,1463,True,2025-04-16 00:00:00,2026-03-10 17:51:33.786365
24,Wael Gaber,01165890810,213652133776023,10,night,car,2019-01-17,4.933,0.745,0.011,19743,True,2019-01-17 00:00:00,2026-03-10 17:51:33.786365
25,Khaled Ali,01289752745,255726167891485,5,morning,bike,2024-05-19,4.764,0.817,0.063,4094,True,2024-05-19 00:00:00,2026-03-10 17:51:33.786365
26,Walid Shaker,01521970652,239308222658092,6,evening,motorbike,2021-11-11,4.645,0.731,0.024,15388,True,2021-11-11 00:00:00,2026-03-10 17:51:33.786365
27,Hossam Saleh,01158190104,261714979883738,17,morning,car,2022-06-24,4.201,0.892,0.067,9895,True,2022-06-24 00:00:00,2026-03-10 17:51:33.786365
28,Nabil Saleh,01015427508,375236143462150,8,night,motorbike,2023-11-14,4.481,0.86,0.011,6359,True,2023-11-14 00:00:00,2026-03-10 17:51:33.786365
29,Ibrahim Mansour,01150320166,270196213316716,10,night,motorbike,2024-05-10,3.533,0.72,0.003,2178,True,2024-05-10 00:00:00,2026-03-10 17:51:33.786365
30,Youssef Mansour,01077571186,275144610435697,6,morning,car,2021-11-03,4.743,0.89,0.006,11529,True,2021-11-03 00:00:00,2026-03-10 17:51:33.786365
31,Ashraf Mansour,01138329117,295014506147287,9,night,car,2021-12-21,3.697,0.806,0.044,4827,True,2021-12-21 00:00:00,2026-03-10 17:51:33.786365
32,Hossam Mansour,01293013580,365592661254383,10,morning,car,2025-10-01,3.708,0.808,0.0,455,False,2025-10-01 00:00:00,2026-03-10 17:51:33.786365
33,Bassem El-Sayed,01594028236,252348747307539,15,morning,bike,2020-08-17,4.242,0.884,0.003,8576,True,2020-08-17 00:00:00,2026-03-10 17:51:33.786365
34,Hossam Fathy,01286427662,356982865960051,1,morning,bike,2025-07-25,4.42,0.95,0.059,2414,True,2025-07-25 00:00:00,2026-03-10 17:51:33.786365
35,Adel Zaki,01578901438,384350439585692,1,evening,car,2019-06-01,4.381,0.948,0.044,14866,True,2019-06-01 00:00:00,2026-03-10 17:51:33.786365
36,Youssef Fathy,01512792658,276040242641592,12,evening,car,2022-11-21,3.839,0.932,0.015,11549,True,2022-11-21 00:00:00,2026-03-10 17:51:33.786365
37,Ziad Tawfik,01565950146,376476627516738,6,night,car,2022-04-16,3.781,0.813,0.058,6056,True,2022-04-16 00:00:00,2026-03-10 17:51:33.786365
38,Hassan Shaker,01550755467,288366872790446,2,morning,motorbike,2023-08-31,4.083,0.716,0.025,6795,True,2023-08-31 00:00:00,2026-03-10 17:51:33.786365
39,Ayman Hassan,01085427873,246285972639678,11,evening,bike,2020-04-11,4.643,0.869,0.058,19489,True,2020-04-11 00:00:00,2026-03-10 17:51:33.786365
40,Bassem Soliman,01571355706,224903427681611,4,night,car,2019-07-26,3.558,0.872,0.004,23180,True,2019-07-26 00:00:00,2026-03-10 17:51:33.786365
41,Hassan Zaki,01030709222,327305014963826,7,evening,motorbike,2024-09-03,4.9,0.887,0.063,2223,True,2024-09-03 00:00:00,2026-03-10 17:51:33.786365
42,Ibrahim Soliman,01558404738,284542393710723,14,morning,bike,2023-03-06,3.702,0.816,0.029,13105,False,2023-03-06 00:00:00,2026-03-10 17:51:33.786365
43,Ayman Gaber,01079437366,257610076595822,11,evening,motorbike,2023-12-18,5.0,0.938,0.013,3606,True,2023-12-18 00:00:00,2026-03-10 17:51:33.786365
44,Hazem Ali,01563955904,311109579706988,9,night,car,2024-10-30,4.427,0.704,0.015,3290,True,2024-10-30 00:00:00,2026-03-10 17:51:33.786365
45,Adel Shaker,01536480587,315201567379266,18,evening,car,2022-11-15,4.128,0.812,0.056,12249,True,2022-11-15 00:00:00,2026-03-10 17:51:33.786365
46,Hussein Mohamed,01113143613,293389109044875,9,morning,car,2024-11-05,4.767,0.843,0.027,3141,True,2024-11-05 00:00:00,2026-03-10 17:51:33.786365
47,Ziad Farouk,01070228445,373771696802385,11,morning,motorbike,2022-12-22,4.718,0.866,0.083,10520,True,2022-12-22 00:00:00,2026-03-10 17:51:33.786365
48,Walid Shaker,01160689435,256136990639839,17,night,bike,2022-03-11,3.839,0.859,0.064,8744,True,2022-03-11 00:00:00,2026-03-10 17:51:33.786365
49,Karim Mohamed,01520478739,384065322982472,13,night,bike,2020-06-16,4.389,0.814,0.064,21869,True,2020-06-16 00:00:00,2026-03-10 17:51:33.786365
50,Sherif Tawfik,01177885433,228208332229271,17,night,motorbike,2023-09-04,3.67,0.891,0.013,7065,False,2023-09-04 00:00:00,2026-03-10 17:51:33.786365
51,Tarek Ibrahim,01215406577,262278847625879,10,evening,car,2020-03-27,3.95,0.913,0.041,17732,True,2020-03-27 00:00:00,2026-03-10 17:51:33.786365
52,,01015997180,390652962521313,10,night,motorbike,2024-06-25,4.167,0.754,0.029,4371,True,2024-06-25 00:00:00,2026-03-10 17:51:33.786365
53,Ali Ali,01153649791,297930005648454,14,evening,car,2024-01-17,3.844,0.865,0.031,6891,True,2024-01-17 00:00:00,2026-03-10 17:51:33.786365
54,Ashraf Khalil,01285302098,288720926191460,3,morning,car,2020-11-09,4.94,0.722,0.042,21310,True,2020-11-09 00:00:00,2026-03-10 17:51:33.786365
55,Nabil Fathy,01112546591,338964343572718,8,night,car,2020-05-07,4.755,0.928,0.047,9313,True,2020-05-07 00:00:00,2026-03-10 17:51:33.786365
56,Essam Hassan,01165691824,284298036448019,11,evening,motorbike,2019-04-06,3.891,0.918,0.006,9718,True,2019-04-06 00:00:00,2026-03-10 17:51:33.786365
57,Mostafa Mohamed,01092473495,313823300248937,2,evening,bike,2023-07-27,4.089,0.852,0.022,5855,True,2023-07-27 00:00:00,2026-03-10 17:51:33.786365
58,Ziad Ibrahim,01578265991,326196104163438,9,morning,bike,2025-09-11,3.958,0.843,0.043,492,True,2025-09-11 00:00:00,2026-03-10 17:51:33.786365
59,Hany El-Sayed,01184451573,289973599353710,14,evening,motorbike,2025-07-28,3.655,0.845,0.05,1177,True,2025-07-28 00:00:00,2026-03-10 17:51:33.786365
60,Hassan Mostafa,01072364542,310073733342850,2,evening,car,2025-03-23,3.874,0.941,0.016,3344,True,2025-03-23 00:00:00,2026-03-10 17:51:33.786365
61,Hussein El-Din,01050350996,239675784312601,17,evening,car,2020-10-23,4.796,0.771,0.075,19553,True,2020-10-23 00:00:00,2026-03-10 17:51:33.786365
62,Mostafa Mostafa,01212130654,295676016414622,16,morning,car,2022-10-31,4.873,0.944,0.052,9430,True,2022-10-31 00:00:00,2026-03-10 17:51:33.786365
63,Nabil Naguib,01526564560,360378254025343,13,morning,car,2019-11-14,4.749,0.721,0.066,21479,True,2019-11-14 00:00:00,2026-03-10 17:51:33.786365
64,Hussein Mansour,01235704262,296336643516336,10,night,bike,2019-03-23,3.788,0.834,0.076,22477,True,2019-03-23 00:00:00,2026-03-10 17:51:33.786365
65,Samy Tawfik,01524890990,380414138126087,16,morning,car,2021-03-14,4.367,0.748,0.056,15307,True,2021-03-14 00:00:00,2026-03-10 17:51:33.786365
66,Omar El-Din,01180206603,313254202139488,18,night,bike,2020-06-05,3.844,0.936,0.05,17378,True,2020-06-05 00:00:00,2026-03-10 17:51:33.786365
67,Hazem Hassan,01576514912,341601172014199,2,evening,motorbike,2023-07-25,4.903,0.806,0.042,5400,True,2023-07-25 00:00:00,2026-03-10 17:51:33.786365
68,Wael El-Din,01519991216,233146424337663,11,evening,bike,2021-07-13,3.626,0.968,0.047,6408,True,2021-07-13 00:00:00,2026-03-10 17:51:33.786365
69,Fadi Rizk,01155741665,256951816402861,17,morning,motorbike,2021-10-09,4.871,0.909,0.067,14631,False,2021-10-09 00:00:00,2026-03-10 17:51:33.786365
70,Essam Ibrahim,01027117564,217711364321431,10,night,bike,2019-05-17,4.405,0.981,0.006,22168,True,2019-05-17 00:00:00,2026-03-10 17:51:33.786365
71,Amr Naguib,01070855827,397147550220512,4,evening,bike,2023-08-11,4.512,0.905,0.052,3594,True,2023-08-11 00:00:00,2026-03-10 17:51:33.786365
72,Youssef Ibrahim,01186935230,281621317117206,9,evening,bike,2019-10-04,4.157,0.902,0.062,14696,True,2019-10-04 00:00:00,2026-03-10 17:51:33.786365
73,Mohamed Ali,01251766978,276078704966062,10,night,motorbike,2024-10-02,3.999,0.843,0.027,1919,True,2024-10-02 00:00:00,2026-03-10 17:51:33.787367
74,Mohamed Mostafa,01556146216,238200654380095,7,morning,car,2025-04-10,4.056,0.914,0.049,3174,True,2025-04-10 00:00:00,2026-03-10 17:51:33.787367
75,Khaled El-Din,01231780851,279793399773895,8,morning,car,2025-11-28,4.482,0.941,0.055,417,True,2025-11-28 00:00:00,2026-03-10 17:51:33.787367
76,Nabil El-Masry,01058696493,260367398153116,1,night,car,2023-06-28,3.664,0.792,0.023,5111,True,2023-06-28 00:00:00,2026-03-10 17:51:33.787367
77,Mohamed El-Sayed,01233392072,388043195899928,8,morning,bike,2020-12-14,3.811,0.839,0.012,9003,True,2020-12-14 00:00:00,2026-03-10 17:51:33.787367
78,Ali Naguib,01150946121,362021675325262,12,night,car,2020-03-30,3.755,0.896,0.043,21815,True,2020-03-30 00:00:00,2026-03-10 17:51:33.787367
79,Samy Mohamed,01181478283,362672166178123,11,night,bike,2020-06-19,4.142,0.833,0.052,24182,True,2020-06-19 00:00:00,2026-03-10 17:51:33.787367
80,Bassem Abdallah,01226972976,396537850800057,3,morning,motorbike,2022-09-04,4.262,0.903,0.056,10739,True,2022-09-04 00:00:00,2026-03-10 17:51:33.787367
81,Sherif Ahmed,01573586743,366429776512669,2,morning,motorbike,2024-11-22,3.812,0.873,0.014,4271,True,2024-11-22 00:00:00,2026-03-10 17:51:33.787367
82,Wael Naguib,01028029509,272557465887834,17,evening,car,2023-03-13,3.808,0.734,0.001,7492,True,2023-03-13 00:00:00,2026-03-10 17:51:33.787367
83,Karim Saleh,01034100904,347380104499221,3,evening,motorbike,2022-07-22,4.809,0.903,0.028,9872,True,2022-07-22 00:00:00,2026-03-10 17:51:33.787367
84,Mostafa Mostafa,01236393422,123,9,evening,bike,2023-01-15,4.585,0.823,0.057,9841,True,2023-01-15 00:00:00,2026-03-10 17:51:33.787367
85,,01256524207,367105652444853,1,evening,car,2021-12-05,4.461,0.842,0.079,18953,True,2021-12-05 00:00:00,2026-03-10 17:51:33.787367
86,Ashraf Zaki,01571928212,322085144252220,11,morning,bike,2024-10-13,4.166,0.886,0.078,3195,True,2024-10-13 00:00:00,2026-03-10 17:51:33.787367
87,Ahmed Farouk,01077082048,341732677908267,14,evening,bike,2020-06-09,4.579,0.903,0.035,20081,True,2020-06-09 00:00:00,2026-03-10 17:51:33.787367
88,Ahmed El-Din,01286261289,363669826170690,7,evening,bike,2020-09-21,3.558,0.962,0.03,13341,False,2020-09-21 00:00:00,2026-03-10 17:51:33.787367
89,Hazem Abdel-Rahman,01513602203,219780495226072,13,evening,bike,2025-03-14,3.785,0.832,0.023,2444,True,2025-03-14 00:00:00,2026-03-10 17:51:33.787367
90,Ahmed Ahmed,01027332564,364743948489622,7,morning,motorbike,2023-08-10,4.784,0.914,0.02,9545,True,2023-08-10 00:00:00,2026-03-10 17:51:33.787367
91,Essam Abdel-Rahman,01029151794,395123671548905,8,night,car,2024-02-23,4.032,0.744,0.049,5190,True,2024-02-23 00:00:00,2026-03-10 17:51:33.787367
92,Omar Abdel-Rahman,01262491260,245061600675276,6,night,car,2024-02-13,4.553,0.917,0.034,6644,True,2024-02-13 00:00:00,2026-03-10 17:51:33.787367
93,Amr Tawfik,01299477179,267881098793914,18,morning,bike,2020-10-08,4.946,0.849,0.004,9754,True,2020-10-08 00:00:00,2026-03-10 17:51:33.787367
94,Sherif Ahmed,01095747226,358362968803655,13,morning,motorbike,2019-07-02,4.089,0.757,0.0,12942,True,2019-07-02 00:00:00,2026-03-10 17:51:33.787367
95,Ashraf Mansour,01168750274,234005265281343,1,night,motorbike,2019-12-05,3.696,0.805,0.028,16697,True,2019-12-05 00:00:00,2026-03-10 17:51:33.787367
96,Nabil El-Sayed,01114623108,264971727915324,10,evening,car,2023-12-10,3.613,0.762,0.0,8281,False,2023-12-10 00:00:00,2026-03-10 17:51:33.787367
97,Tarek Mostafa,,223597360881631,6,night,bike,2023-09-24,3.738,0.81,0.029,3652,True,2023-09-24 00:00:00,2026-03-10 17:51:33.787367
98,Hussein Shaker,01041193292,260182852660439,11,morning,bike,2023-06-07,3.478,0.958,0.048,3296,True,2023-06-07 00:00:00,2026-03-10 17:51:33.787367
99,Ramy Khalil,01165176483,394283439830648,16,morning,car,2019-06-29,4.557,0.85,0.064,26407,True,2019-06-29 00:00:00,2026-03-10 17:51:33.787367
100,Youssef Shaker,01154566533,219502538392982,11,morning,motorbike,2023-05-11,4.425,0.948,0.042,6968,True,2023-05-11 00:00:00,2026-03-10 17:51:33.787367
76,Nabil El-Masry,01058696493,260367398153116,1,night,car,2023-06-28,3.67,0.797,0.022,5111,True,2023-06-28 00:00:00,2026-03-10 17:51:33.787367
